Section,Subsection,Name,Cost (MiB),Description
science,statistics,r-cran-bayesm,30,GNU R package for Bayesian inference
science,statistics,r-cran-bbmle,32,GNU R tools for general maximum likelihood estimation
science,statistics,r-cran-blockmodeling,30,Generalized and classical blockmodeling of valued networks
science,statistics,r-cran-bms,ERROR,GNU R package for Bayesian model averaging for linear models
science,statistics,r-cran-boot,ERROR,GNU R package for bootstrapping functions from Davison and Hinkley
science,statistics,r-cran-bradleyterry2,43,GNU R package for using Bradley-Terry models
science,statistics,r-cran-brglm,25,GNU R package for bias reduction in binomial-response GLMs
science,statistics,r-cran-ca,ERROR,"GNU R package for simple, multiple and joint correspondence analysis"
science,statistics,r-cran-cairodevice,ERROR,GNU R Cairo/Gtk2 device driver package
science,statistics,r-cran-car,120,GNU R Companion to Applied Regression by John Fox
science,statistics,r-cran-caret,85,GNU R package for classification and regression training
science,statistics,r-cran-catools,25,GNU R package providing various utility functions
science,statistics,r-cran-chron,ERROR,GNU R package for chronologically ordered objects
science,statistics,r-cran-cluster,ERROR,GNU R package for cluster analysis by Rousseeuw et al
science,statistics,r-cran-coda,27,Output analysis and diagnostics for MCMC simulations in R
science,statistics,r-cran-codetools,ERROR,GNU R package providing code analysis tools
science,statistics,r-cran-coin,53,GNU R package providing conditional inference procedures
science,statistics,r-cran-contfrac,ERROR,GNU R package providing various utilities for evaluating continued fractions
science,statistics,r-cran-conting,32,GNU R package for Bayesian analysis of contingency tables
science,statistics,r-cran-corpcor,ERROR,GNU R for Estimation of Covariance and Correlation -- corpcor
science,statistics,r-cran-date,ERROR,GNU R package for date handling
science,statistics,r-cran-dbi,ERROR,GNU R package providing a generic database interface
science,statistics,r-cran-deldir,ERROR,GNU R Delaunay Triangulation and Dirichlet (Voronoi) Tessellation
science,statistics,r-cran-desolve,ERROR,GNU R package providing functions that solve initial value problems
science,statistics,r-cran-eco,27,GNU R routines for Bayesian ecological inference
science,statistics,r-cran-ecodist,ERROR,GNU R package for dissimilarity-based ecological analysis
science,statistics,r-cran-effects,60,GNU R graphical and tabular effects display for glm models
science,statistics,r-cran-ellipse,ERROR,GNU R functions for drawing ellipses and ellipse-like confidence regions
science,statistics,r-cran-elliptic,27,GNU R package providing elliptic and related functions
science,statistics,r-cran-energy,30,GNU R package for energy statistics for distribution comparison
science,statistics,r-cran-erm,42,GNU R package for 'extended Rasch modelling'
science,statistics,r-cran-estimability,ERROR,GNU R package providing tools for determining estimability of linear functions
science,statistics,r-cran-expm,30,GNU R Computation of the matrix exponential and related quantities
science,statistics,r-cran-fastcluster,ERROR,Fast hierarchical clustering routines for GNU R
science,statistics,r-cran-fastmatch,ERROR,GNU R package for fast match replacement for repeated look-ups
science,statistics,r-cran-fbasics,33,GNU R package for financial engineering -- fBasics
science,statistics,r-cran-fcalendar,N/A,N/A
science,statistics,r-cran-fcopulae,49,GNU R package for financial engineering -- fCopulae
science,statistics,r-cran-fecofin,N/A,N/A
science,statistics,r-cran-fextremes,38,GNU R package for financial engineering -- fExtremes
science,statistics,r-cran-fmultivar,49,GNU R package for financial engineering -- fMultivar
science,statistics,r-cran-foptions,33,GNU R package for financial engineering -- fOptions
science,statistics,r-cran-foreign,ERROR,GNU R package to read/write data from other stat. systems
science,statistics,r-cran-fportfolio,62,GNU R package for financial engineering -- fPortfolio
science,statistics,r-cran-futile.logger,26,logging utility for GNU R
science,statistics,r-cran-futile.options,ERROR,GNU R futile options management
science,statistics,r-cran-gam,26,Generalized Additive Models for R
science,statistics,r-cran-gdata,27,GNU R package with data manipulation tools by Greg Warnes et al
science,statistics,r-cran-geepack,37,Generalized Estimating Equation Package for R
science,statistics,r-cran-ggplot2,55,implementation of the Grammar of Graphics
science,statistics,r-cran-glmnet,48,Lasso and Elastic-Net Regularized Generalized Linear Models
science,statistics,r-cran-gmodels,29,GNU R package with tools for model fitting by Greg Warnes et al
science,statistics,r-cran-gnm,32,GNU R package for generalized nonlinear models
science,statistics,r-cran-goftest,ERROR,GNU R Classical Goodness-of-Fit Tests for Univariate Distributions
science,statistics,r-cran-gplots,28,GNU R package with tools for plotting data by Greg Warnes et al
science,statistics,r-cran-gregmisc,29,GNU R package with miscellaneous functions by Greg Warnes et al
science,statistics,r-cran-gtools,ERROR,GNU R package with R programming tools by Greg Warnes et al
science,statistics,r-cran-hdf5,ERROR,GNU R package interfacing the NCSA HDF5 library
science,statistics,r-cran-hmisc,97,GNU R miscellaneous functions by Frank Harrell
science,statistics,r-cran-hypergeo,30,GNU R package providing the Gaussian hypergeometric for complex numbers
science,statistics,r-cran-igraph,33,GNU R network analysis and visualization
science,statistics,r-cran-irlba,30,"GNU R fast truncated SVD, PCA and symmetric eigendecomposition"
science,statistics,r-cran-its,97,GNU R package for handling irregular time series
science,statistics,r-cran-kernsmooth,26,GNU R package for kernel smoothing and density estimation
science,statistics,r-cran-lambda.r,25,GNU R modeling data with functional programming
science,statistics,r-cran-lattice,ERROR,GNU R package for 'Trellis' graphics
science,statistics,r-cran-latticeextra,29,GNU R package of additional graphical displays based on lattice
science,statistics,r-cran-lavaan,30,GNU R package for latent variable analysis -- lavaan
science,statistics,r-cran-lhs,28,GNU R Latin Hypercube Samples
science,statistics,r-cran-lme4,42,GNU R package for linear mixed effects model fitting
science,statistics,r-cran-lmtest,28,GNU R package for diagnostic checking in linear models
science,statistics,r-cran-logspline,ERROR,GNU R package providing routines for the logspline density estimation
science,statistics,r-cran-lsmeans,31,GNU R package providing least-squares means for various classes of models
science,statistics,r-cran-luminescence,58,GNU R comprehensive luminescence dating data analysis
science,statistics,r-cran-magrittr,ERROR,GNU R forward-pipe operator
science,statistics,r-cran-mapdata,44,GNU R support for producing geographic maps (supplemental data)
science,statistics,r-cran-mapproj,27,GNU R support for cartographic projections of map data
science,statistics,r-cran-maps,ERROR,GNU R support for producing geographic maps
science,statistics,r-cran-maptree,38,"GNU R mapping, pruning, and graphing tree models"
science,statistics,r-cran-mass,ERROR,GNU R package of Venables and Ripley's MASS
science,statistics,r-cran-matchit,29,GNU R package of nonparametric matching methods
science,statistics,r-cran-matrix,30,GNU R package of classes for dense and sparse matrices
science,statistics,r-cran-mcmcpack,41,R routines for Markov chain Monte Carlo model estimation
science,statistics,r-cran-mgcv,35,GNU R package for multiple parameter smoothing estimation
science,statistics,r-cran-minpack.lm,ERROR,GNU R Levenberg-Marquardt nonlinear least-squares algorithm found in MINPACK
science,statistics,r-cran-misc3d,84,GNU R collection of 3d plot functions and rgl-based isosurfaces
science,statistics,r-cran-mlmrev,44,GNU R Examples from Multilevel Modelling Software Review
science,statistics,r-cran-mnp,27,GNU R package for fitting multinomial probit (MNP) models
science,statistics,r-cran-modelmetrics,29,GNU R Rapid Calculation of Model Metrics
science,statistics,r-cran-modeltools,ERROR,GNU R package providing a collection of tools to deal with statistical models
science,statistics,r-cran-msm,39,GNU R Multi-state Markov and hidden Markov models in continuous time
science,statistics,r-cran-multcomp,50,GNU R package for multiple comparison procedures
science,statistics,r-cran-mvnormtest,ERROR,GNU R package for multivariate normality test
science,statistics,r-cran-mvtnorm,ERROR,GNU R package to compute multivariate Normal and T distributions
science,statistics,r-cran-nlme,28,GNU R package for (non-)linear mixed effects models
science,statistics,r-cran-nmf,67,GNU R framework to perform non-negative matrix factorization
science,statistics,r-cran-nnls,ERROR,GNU R package for non-negative least squares (the Lawson-Hanson algorithm)
science,statistics,r-cran-pbapply,ERROR,GNU R package providing progress bars for vectorized R functions
science,statistics,r-cran-pbivnorm,ERROR,GNU R package for calculating probabilities from a bivariate normal CDF
science,statistics,r-cran-permute,ERROR,R functions for generating restricted permutations of data
science,statistics,r-cran-princurve,27,fit a principal curve in arbitrary dimension
science,statistics,r-cran-pscl,30,GNU R package for discrete data models
science,statistics,r-cran-psy,ERROR,GNU R procedures for psychometrics
science,statistics,r-cran-qtl,36,GNU R package for genetic marker linkage analysis
science,statistics,r-cran-quadprog,ERROR,GNU R package for solving quadratic programming problems
science,statistics,r-cran-qvcalc,ERROR,GNU R quasi variances for factor effects in statistical models
science,statistics,r-cran-r.oo,26,GNU R object-oriented programming with or without references
science,statistics,r-cran-r.utils,28,GNU R various programming utilities
science,statistics,r-cran-randomfieldsutils,ERROR,utilities for the simulation and analysis of random fields
science,statistics,r-cran-raschsampler,ERROR,GNU R package for sampling binary matrices with fixed margins
science,statistics,r-cran-rcmdr,170,GNU R platform-independent basic-statistics GUI
science,statistics,r-cran-relimp,25,GNU R package for inference on relative importance of regressors
science,statistics,r-cran-reshape2,29,Flexibly reshape data: a reboot of the reshape package
science,statistics,r-cran-rggobi,41,GNU R package for the GGobi data visualization system
science,statistics,r-cran-rgl,84,GNU R package for three-dimensional visualisation using OpenGL
science,statistics,r-cran-rgtk2,ERROR,GNU R binding for Gtk2
science,statistics,r-cran-rinside,28,GNU R package to embed R in C++ application
science,statistics,r-cran-rmpi,ERROR,GNU R package interfacing MPI libraries for distributed computing
science,statistics,r-cran-rms,120,GNU R regression modeling strategies by Frank Harrell
science,statistics,r-cran-rmysql,26,GNU R package providing a DBI-compliant interface to MySQL
science,statistics,r-cran-rngtools,25,GNU R package for random number generators
science,statistics,r-cran-rodbc,ERROR,GNU R package for ODBC database access
science,statistics,r-cran-rpart,38,GNU R package for recursive partitioning and regression trees
science,statistics,r-cran-rpvm,N/A,N/A
science,statistics,r-cran-rquantlib,38,GNU R package interfacing the QuantLib finance library
science,statistics,r-cran-rsdmx,32,GNU R package for the Statistical Data and Metadata Exchange (SDMX) framework
science,statistics,r-cran-rserve,ERROR,GNU R Rserve tcp/ip server and sample clients
science,statistics,r-cran-rsprng,ERROR,GNU R interface to SPRNG (Scalable Parallel RNGs)
science,statistics,r-cran-sandwich,29,GNU R package for model-robust standard error estimates
science,statistics,r-cran-sem,110,GNU R functions for fitting structural equation models -- sem
science,statistics,r-cran-sm,ERROR,GNU R package for kernel smoothing methods
science,statistics,r-cran-snow,ERROR,GNU R package for 'simple network of workstations'
science,statistics,r-cran-spam,28,GNU R functions for sparse matrix algebra
science,statistics,r-cran-spatstat,63,"GNU R Spatial Point Pattern analysis, model-fitting, simulation, tests"
science,statistics,r-cran-spc,ERROR,GNU R Statistical Process Control
science,statistics,r-cran-statmod,ERROR,GNU R package providing algorithms and functions for statistical modeling
science,statistics,r-cran-strucchange,30,GNU R package for structural change regression estimation
science,statistics,r-cran-survival,37,GNU R package for survival analysis
science,statistics,r-cran-teachingdemos,ERROR,GNU R Demonstrations for teaching and learning
science,statistics,r-cran-timedate,ERROR,GNU R package for financial engineering -- timeDate
science,statistics,r-cran-tkrplot,ERROR,GNU R embedded Tk plotting device package
science,statistics,r-cran-tseries,30,GNU R package for time-series analysis and comp. finance
science,statistics,r-cran-vcd,32,GNU R Visualizing Categorical Data
science,statistics,r-cran-vcdextra,38,GNU R package providing extensions and additions to the vcd package
science,statistics,r-cran-vgam,ERROR,GNU R package for estimating vector generalized additive models
science,statistics,r-cran-xml,ERROR,GNU R package for XML parsing and generation
science,statistics,r-cran-zelig,150,GNU R package providing a unified front-end for estimating statistical models
science,statistics,r-cran-zoo,27,GNU R package for totally ordered indexed observations
science,statistics,r-recommended,46,GNU R collection of recommended packages [metapackage]
science,statistics,rkward,ERROR,KDE frontend to the R statistics language
science,statistics,rstudio,N/A,N/A
science,statistics,science-mathematics,1,Debian Science Mathematics packages
science,typesetting,auctex,ERROR,integrated document editing environment for TeX etc.
science,typesetting,biber,ERROR,Much-augmented BibTeX replacement for BibLaTeX users
science,typesetting,bibus,N/A,N/A
science,typesetting,bibutils,1,interconvert various bibliographic data formats
science,typesetting,cb2bib,ERROR,extract bibliographic references from various sources
science,typesetting,csv2latex,1,command-line CSV to LaTeX file converter
science,typesetting,dia,8,Diagram editor
science,typesetting,diploma,1,Write scientific papers with Debian
science,typesetting,feynmf,160,set of LaTeX macros for creating Feynman diagrams
science,typesetting,gpapers,N/A,N/A
science,typesetting,gummi,ERROR,simple LaTeX editor with live preview
science,typesetting,impose+,8,"Postscript utilities for two-up printing, bbox, etc"
science,typesetting,ipe,49,drawing editor for creating figures in PDF or PS formats
science,typesetting,ipe5toxml,1,converts Ipe5 figures to an XML file readable by Ipe
science,typesetting,jabref,77,graphical frontend to manage BibTeX and BibLaTeX databases
science,typesetting,jeuclid-mathviewer,12,Complete MathML rendering solution (Swing MathViewer)
science,typesetting,kbibtex,ERROR,BibTeX editor for KDE
science,typesetting,kile,88,KDE Integrated LaTeX Environment
science,typesetting,latexdiff,8,utility to mark up significant differences between LaTeX files
science,typesetting,libgtkmathview-bin,1,rendering engine for MathML documents
science,typesetting,libjlatexmath-java,1,Implementation of LaTeX math mode wrote in Java
science,typesetting,libqtexengine-dev,N/A,N/A
science,typesetting,luasseq,N/A,N/A
science,typesetting,lyx,ERROR,document processor
science,typesetting,mlpost,390,OCaml interface to Metapost (command-line tool)
science,typesetting,openoffice.org-dmaths,N/A,N/A
science,typesetting,pandoc,19,general markup converter
science,typesetting,pandoc-citeproc,15,Pandoc support for Citation Style Language - tools
science,typesetting,pybliographer,N/A,N/A
science,typesetting,pybtex,1,BibTeX-compatible bibliography processor
science,typesetting,pymarc,N/A,N/A
science,typesetting,python3-pybtex-docutils,1,docutils backend for pybtex
science,typesetting,python3-sphinxcontrib.bibtex,ERROR,Sphinx extension for BibTeX style citations
science,typesetting,quaneko,N/A,N/A
science,typesetting,r-cran-gridbase,ERROR,GNU R Integration of base and grid graphics
science,typesetting,r-cran-highr,ERROR,Syntax Highlighting for R Source Code
science,typesetting,r-cran-knitr,45,GNU R package for dynamic report generation using Literate Programming
science,typesetting,r-cran-scatterd3,28,D3 JavaScript scatterplot from GNU R
science,typesetting,r-cran-shape,ERROR,"GNU R functions for plotting graphical shapes, colors"
science,typesetting,r-cran-xtable,ERROR,GNU R coerce data to LaTeX and HTML tables
science,typesetting,referencer,N/A,N/A
science,typesetting,sagetex,560,Embed Sage code and plots into LaTeX
science,typesetting,sketch,1,3D diagrams for TeX from scene description language
science,typesetting,svgtoipe,1,converts SVG figures to an XML file readable by Ipe
science,typesetting,tellico,35,"Collection manager for books, videos, music, etc"
science,typesetting,texlive,62,TeX Live: A decent selection of the TeX Live packages
science,typesetting,texlive-bibtex-extra,110,TeX Live: BibTeX additional styles
science,typesetting,texlive-math-extra,N/A,N/A
science,typesetting,texlive-publishers,71,"TeX Live: Publisher styles, theses, etc."
science,typesetting,texlive-science,140,"TeX Live: Mathematics, natural sciences, computer science packages"
science,typesetting,texmacs,N/A,N/A
science,typesetting,texmaker,7,cross-platform LaTeX editor
science,typesetting,texstudio,7,LaTeX Editor
science,typesetting,transfig,N/A,N/A
science,typesetting,vim-latexsuite,9,"view, edit and compile LaTeX documents from within Vim"
science,typesetting,xfig,14,Facility for Interactive Generation of figures under X11
science,typesetting,xul-ext-zotero,N/A,N/A
science,typesetting,zotero-standalone,N/A,N/A
science,viewing,3depict,23,visualisation and analysis for single valued point data
science,viewing,cassandra,N/A,N/A
science,viewing,circos,27,plotter for visualizing data
science,viewing,circos-tools,45,plotter for visualizing data - helper utilities
science,viewing,ctioga2,50,polymorphic plotting program
science,viewing,feedgnuplot,15,Pipe-oriented frontend to Gnuplot
science,viewing,findimagedupes,38,Finds visually similar or duplicate images
science,viewing,fityk,7,general-purpose nonlinear curve fitting and data analysis
science,viewing,g3data,1,extract data from scanned graphs
science,viewing,geg,1,GTK+ Equation Grapher
science,viewing,gfsview,80,graphical viewer for Gerris simulation files
science,viewing,giza-dev,1,Lightweight scientific plotting library (development files)
science,viewing,gle-graphics,5,Graphics Layout Engine
science,viewing,gmsh,28,Three-dimensional finite element mesh generator
science,viewing,gnudatalanguage,28,Free IDL compatible incremental compiler
science,viewing,gnuplot,7,Command-line driven interactive plotting program.
science,viewing,grace,9,XY graphing and plotting tool
science,viewing,graphviz,3,rich set of graph drawing tools
science,viewing,gri,10,a language for scientific illustration
science,viewing,gwyddion,5,Scanning Probe Microscopy visualization and analysis tool
science,viewing,ifrit,N/A,N/A
science,viewing,imview,1,Image viewing and analysis application
science,viewing,jeuclid-mathviewer,12,Complete MathML rendering solution (Swing MathViewer)
science,viewing,kst,6,scientific data plotting tool
science,viewing,labplot,40,interactive graphing and analysis of scientific data
science,viewing,libcoin-dev,6,high-level 3D graphics devkit with Open Inventor and VRML97 support
science,viewing,libgnuplot-iostream-dev,42,C++ programming interface for gnuplot. Headers
science,viewing,libgrits-dev,N/A,N/A
science,viewing,libgtkmathview-bin,1,rendering engine for MathML documents
science,viewing,libgts-bin,1,utility binaries for libgts
science,viewing,libpuzzle-bin,1,quick similar image finder - runtime tool
science,viewing,libqglviewer-dev,N/A,N/A
science,viewing,libqglviewer2,N/A,N/A
science,viewing,libsoqt520-dev,18,Qt5 GUI component toolkit for Inventor - development
science,viewing,libvtk7-dev,210,VTK header files
science,viewing,libvtk7-java,62,Visualization Toolkit - A high level 3D visualization library - java
science,viewing,libvtk7-qt-dev,240,"VTK header files, containing Qt files"
science,viewing,lybniz,1,mathematical function graph plotter
science,viewing,mathgl,13,library for scientific graphs (utilities and examples)
science,viewing,matlab2tikz,ERROR,converter of Octave plots to TikZ figures (for integration into LaTeX)
science,viewing,mayavi2,ERROR,scientific visualization package for 2-D and 3-D data
science,viewing,med-imaging,1,Debian Med image processing and visualization packages
science,viewing,ovito,N/A,N/A
science,viewing,paraview,110,Parallel Visualization Application
science,viewing,pdl,12,perl data language: Perl extensions for numerics
science,viewing,pgfplots,N/A,N/A
science,viewing,pgplot5,1,large subroutine library for plotting scientific data
science,viewing,plotdrop,N/A,N/A
science,viewing,python3-gnuplot,10,Python interface to the gnuplot plotting program
science,viewing,python3-guiqwt,77,efficient 2D data-plotting library - Python 3
science,viewing,python3-matplotlib,20,Python based plotting system in a style similar to Matlab (Python 3)
science,viewing,python3-pivy,17,Coin binding for Python 3
science,viewing,python3-pyqtgraph,29,Scientific Graphics and GUI Library for Python 3
science,viewing,python3-seaborn,ERROR,statistical visualization library for Python3
science,viewing,python3-vtk7,65,Python bindings for VTK
science,viewing,pyxplot,85,data plotting program producing publication-quality output
science,viewing,qtiplot,N/A,N/A
science,viewing,r-cran-aplpack,ERROR,"Another Plot PACKage: stem.leaf, bagplot, faces, spin3R and others"
science,viewing,r-cran-colorspace,ERROR,GNU R Color Space Manipulation
science,viewing,r-cran-ggplot2,55,implementation of the Grammar of Graphics
science,viewing,r-cran-labeling,ERROR,GNU R Axis Labeling optimization
science,viewing,r-cran-plotrix,ERROR,GNU R package providing various plotting functions
science,viewing,r-cran-qqman,28,R package for visualizing GWAS results using Q-Q and manhattan plots
science,viewing,r-cran-scales,31,Scale functions for visualization
science,viewing,r-cran-scatterplot3d,ERROR,GNU R package for Visualizing Multivariate Data
science,viewing,r-cran-shape,ERROR,"GNU R functions for plotting graphical shapes, colors"
science,viewing,r-cran-sjplot,110,GNU R data visualization for statistics in social science
science,viewing,r-cran-vioplot,29,GNU R toolbox for violin plots
science,viewing,rlplot,N/A,N/A
science,viewing,scidavis,N/A,N/A
science,viewing,solvespace,8,Parametric 2d/3d CAD
science,viewing,tcl-vtk7,59,Tcl bindings for VTK
science,viewing,texlive-pictures,64,"TeX Live: Graphics, pictures, diagrams"
science,viewing,trend,1,"general-purpose, efficient trend graph"
science,viewing,udav,12,library for scientific graphs (window interface)
science,viewing,veusz,11,2D and 3D scientific plotting application with graphical interface
science,viewing,visit,N/A,N/A
science,viewing,vistrails,ERROR,Science visualisation workflow toolkit
science,viewing,vtk7-examples,1,VTK examples
science,viewing,worldwind,N/A,N/A
science,viewing,yorick,2,interpreted language and scientific graphics
science,workflow,coop-computing-tools,14,cooperative computing tools
science,workflow,cwlformat,1,code formatter for Common Workflow Language
science,workflow,cwltool,7,Common Workflow Language reference implementation
science,workflow,gearman,2,Distributed job queue
science,workflow,gearman-tools,1,Tools for the Gearman distributed job queue
science,workflow,libbenchmark-tools,1,"Microbenchmark support library, tools and documentation"
science,workflow,make,1,utility for directing compilation
science,workflow,pegasus-wms,N/A,N/A
science,workflow,python3-nipype,23,Neuroimaging data analysis pipelines in Python3
science,workflow,python3-wdlparse,1,Workflow Description Language (WDL) parser for Python
science,workflow,snakemake,ERROR,pythonic workflow management system
science,workflow,toil,8,cross-platform workflow engine
games,PrisonPC,alephone,6,FPS engine for the Marathon Trilogy
games,PrisonPC,alien-arena,490,Standalone 3D first person online deathmatch shooter
games,PrisonPC,armagetronad-dedicated,1,dedicated game server for Armagetron Advanced
games,PrisonPC,asc-music,10,music pack for ASC
games,PrisonPC,assaultcube,43,realistic first-person-shooter
games,PrisonPC,astromenace,51,hardcore 3D space shooter with spaceship upgrade possibilities
games,PrisonPC,astromenace-data-src,48,data files for AstroMenace game
games,PrisonPC,bombardier,1,The GNU Bombing utility
games,PrisonPC,braillefont,1,Prints a bitmapped version of a text using Unicode Braille symbols
games,PrisonPC,bsdgames-nonfree,1,"rogue, the classic dungeon exploration game"
games,PrisonPC,bzflag,12,3D first person tank battle game
games,PrisonPC,cappuccino,1,utility to let your boss think that you're working hard
games,PrisonPC,cataclysm-dda-curses,27,post-apocalyptic roguelike game - curses interface
games,PrisonPC,cavezofphear,1,ASCII Boulder Dash clone
games,PrisonPC,chocolate-doom,8,Doom engines closely-compatible with Vanilla Doom
games,PrisonPC,colobot-common-sounds,58,educational programming strategy game - sounds and music
games,PrisonPC,colobot-common-textures,22,educational programming strategy game - textures
games,PrisonPC,colossal-cave-adventure,1,Colossal Cave Adventure game
games,PrisonPC,cookietool,1,suite of programs to help maintain a fortune database
games,PrisonPC,corsix-th,9,Open source clone of Theme Hospital
games,PrisonPC,cowsay-off,8,configurable talking cow (offensive cows)
games,PrisonPC,crafty-bitmaps,1,bitmap images for crafty chess game annotation mode
games,PrisonPC,crafty-books-medium,13,Medium size opening books for the crafty chess engine
games,PrisonPC,crafty-books-medtosmall,3,Medium-to-small size opening books for crafty chess engine
games,PrisonPC,crafty-books-small,1,Small-size opening books for crafty chess engine
games,PrisonPC,crawl-tiles,12,"Dungeon Crawl, a roguelike game, tiles version"
games,PrisonPC,crossfire-client-images,3,Base crossfire-client images
games,PrisonPC,crossfire-maps,15,Standard set of maps for crossfire
games,PrisonPC,crossfire-maps-small,3,Small set of maps for crossfire
games,PrisonPC,csmash-demosong,11,Demo song for CannonSmash
games,PrisonPC,cube2,8,3D first-person shooter game engine
games,PrisonPC,cytadela,42,old-school first person shooter game
games,PrisonPC,d1x-rebirth,9,port of the 1995 classic game Descent 1: First Strike
games,PrisonPC,d2x-rebirth,9,port of the 1996 classic game Descent 2: Counterstrike
games,PrisonPC,darkplaces,3,Game engine for Quake and similar 3D first person shooter games
games,PrisonPC,ddnet-tools,1,Tools for DDNet
games,PrisonPC,dhewm3,3,GPL Doom 3 game engine
games,PrisonPC,dhewm3-d3xp,5,dhewm3's gamelibrary for the title DOOM³: Resurrection of Evil
games,PrisonPC,dhewm3-doom3,4,dhewm3's gamelibrary for the title DOOM³
games,PrisonPC,dizzy,17,Graphics demo that makes you dizzy using rotating textures
games,PrisonPC,doom-wad-shareware,2,Shareware game files for the 3D game Doom
games,PrisonPC,drascula-french,69,classic 2D point and click adventure game -- French version
games,PrisonPC,drascula-german,69,classic 2D point and click adventure game -- German version
games,PrisonPC,drascula-italian,81,classic 2D point and click adventure game -- Italian version
games,PrisonPC,drascula-music,35,classic 2D point and click adventure game -- music files
games,PrisonPC,drascula-spanish,81,classic 2D point and click adventure game -- Spanish version
games,PrisonPC,dwarf-fortress,11,Slaves to Armok: God of Blood Chapter II: Dwarf Fortress
games,PrisonPC,ember-media,240,3D client framework for the WorldForge project -- media files
games,PrisonPC,empire-hub,1,Empire protocol multiplexer
games,PrisonPC,empire-lafe,1,Fast line-mode Empire client
games,PrisonPC,endless-sky-high-dpi,200,space exploration and combat game
games,PrisonPC,exult,3,"engine for Ultima VII (BG, FOV, SI, SS)"
games,PrisonPC,exult-studio,13,tools for editing and viewing exult games
games,PrisonPC,fb-music-high,2,"High quality, large music files for Frozen-Bubble"
games,PrisonPC,fheroes2-pkg,100,fheroes2 package downloader and builder
games,PrisonPC,fillets-ng-data-cs,38,add-on sounds for Czech language spoken dialogs for fillets-ng
games,PrisonPC,fillets-ng-data-nl,32,add-on sounds for Dutch language spoken dialogs for fillets-ng
games,PrisonPC,fizmo-console,1,Console-based Z-machine interpreter for Infocom/Inform games
games,PrisonPC,flare,11,Meta package to deal with package name changes in Flare 0.19
games,PrisonPC,flare-engine,11,game engine for single-player 2D action role-playing games
games,PrisonPC,flightgear-data-ai,280,FlightGear Flight Simulator -- standard AI data
games,PrisonPC,flightgear-data-all,1900,FlightGear Flight Simulator - virtual package
games,PrisonPC,flightgear-data-base,1400,FlightGear Flight Simulator -- base files
games,PrisonPC,flightgear-data-models,140,FlightGear Flight Simulator -- standard models
games,PrisonPC,flightgear-phi,3,FlightGear Flight Simulator -- Phi webfrontend
games,PrisonPC,fltk1.1-games,1,"Fast Light Toolkit - example games: checkers, sudoku"
games,PrisonPC,fortune-anarchism,1,anarchist quotes for fortune
games,PrisonPC,fortunes,1,Data files containing fortune cookies
games,PrisonPC,freecell-solver-bin,1,Library for solving Freecell games
games,PrisonPC,freeciv-client-extras,21,Civilization turn based strategy game (miscellaneous extras)
games,PrisonPC,freeciv-client-gtk,28,Civilization turn based strategy game (GTK+ client)
games,PrisonPC,freeciv-client-gtk3,28,Civilization turn based strategy game (GTK 3 client)
games,PrisonPC,freeciv-client-qt,28,Civilization turn based strategy game (Qt client)
games,PrisonPC,freeciv-client-sdl,91,Civilization turn based strategy game (SDL client)
games,PrisonPC,freeciv-sound-standard,2,Civilization turn based strategy game (standard sound pack)
games,PrisonPC,freedink-dfarc,6,frontend and .dmod installer for GNU FreeDink
games,PrisonPC,freedink-engine,58,humorous top-down adventure and role-playing game (engine)
games,PrisonPC,freespace2,6,open implementation of the Freespace 2 game engine
games,PrisonPC,freespace2-launcher-wxlauncher,7,launcher for the Freespace 2 Source Code Project
games,PrisonPC,fretsonfire-songs-muldjord,28,game of musical skill and fast fingers - Songs Package
games,PrisonPC,fretsonfire-songs-sectoid,28,game of musical skill and fast fingers - Songs Package
games,PrisonPC,frogatto,230,2D platformer game starring a quixotic frog
games,PrisonPC,game-data-packager,6,Installer for game data files
games,PrisonPC,game-data-packager-runtime,1,Launcher for proprietary games
games,PrisonPC,gav-themes,1,Extra themes for GPL Arcade Volleyball
games,PrisonPC,gearhead-sdl,5,"roguelike mecha role playing game, SDL version"
games,PrisonPC,gearhead2-sdl,11,roguelike mecha role playing game in space
games,PrisonPC,glhack,3,Fullscreen SDL/OpenGL version of NetHack
games,PrisonPC,gnome-breakout,1,"Clone of the classic game Breakout, written for GNOME"
games,PrisonPC,gnome-games-app,5,Game browser and launcher for GNOME
games,PrisonPC,gnome-mastermind,1,Mastermind™ clone for GNOME
games,PrisonPC,gnuboy-sdl,2,SDL binaries for gnuboy - Game Boy Emulator
games,PrisonPC,gnuboy-x,1,X binaries for gnuboy - Game Boy Emulator
games,PrisonPC,golly,9,Game of Life simulator using hashlife algorithm
games,PrisonPC,goverlay,ERROR,Graphical UI to help manage Vulkan / OpenGL overlays
games,PrisonPC,heroes-sound-effects,1,Optional sound files for heroes
games,PrisonPC,heroes-sound-tracks,1,Optional sound files for heroes
games,PrisonPC,holotz-castle-editor,11,platform game with high doses of mystery - level editor
games,PrisonPC,hyperrogue-music,55,in-game music for hyperrogue
games,PrisonPC,ioquake3,3,Game engine for 3D first person shooter games
games,PrisonPC,kcheckers,1,Checkers boardgame
games,PrisonPC,kdegames-card-data-kf5,6,card decks for KDE games
games,PrisonPC,kdegames-mahjongg-data-kf5,2,tilesets and backgrounds for Mahjongg games
games,PrisonPC,lgc-pg,2,LGeneral converter for Panzer General game data
